## Profile File Version 1.00
## Output by Program MBgrdviz
## Program Version $Id: mbgrdviz_callbacks.c 2268 2016-03-15 02:11:26Z caress $
## MB-System Version 5.5.2268
## Run by user <eve> on cpu <guate.shore.mbari.org> at <Fri Jul  1 14:24:07 2016>
## Number of profile points: 26055
## Profile point format:
##   <lateral distance (m)> <topography (m)> <boundary (boolean)> <longitude (deg)> <latitude (deg)> <distance over topo (m)> <bearing (deg)> <slope (m/m)>
## PROFILESOURCE Route
## PROFILELENGTH 19988.454293
## PROFILEZMIN -721.400523
## PROFILEZMAX 26055.000000
## PROFILEPOINTS 26055
#- Subsetted for "on bottom" time of BED09 during 9 January 2017 event - it floated up
lat_dist_m topo_m boundary long lat dist_topo_m bearing slope
6630.251100 -353.618951 0 -121.862099 36.801711 6814.463701 191.309923 0.100701
6630.610413 -353.583981 0 -121.862099 36.801708 6814.824712 191.309925 0.059451
6631.632663 -353.536815 0 -121.862102 36.801699 6815.848049 191.309927 0.001463
6632.654913 -353.586972 0 -121.862104 36.801690 6816.871529 191.309930 0.076166
6633.677163 -353.692537 0 -121.862107 36.801681 6817.899216 191.309933 0.082323
6634.699413 -353.755281 0 -121.862109 36.801672 6818.923390 191.309936 0.006248
6635.062200 -353.683883 0 -121.862110 36.801669 6819.293136 191.309938 0.193425
6635.721664 -353.557553 0 -121.862111 36.801663 6819.964590 191.309939 0.165802
6636.743914 -353.405052 0 -121.862114 36.801654 6820.998153 191.309942 0.070982
6637.766164 -353.412429 0 -121.862116 36.801645 6822.020430 191.309944 0.072903
6638.788414 -353.554101 0 -121.862118 36.801636 6823.052450 191.309948 0.131201
6639.810664 -353.680670 0 -121.862121 36.801627 6824.082506 191.309951 0.112856
6639.873301 -353.676537 0 -121.862121 36.801626 6824.145279 191.309951 0.080323
6640.832915 -353.598560 0 -121.862123 36.801618 6825.108056 191.309954 0.097407
6641.855165 -353.483491 0 -121.862126 36.801609 6826.136762 191.309956 0.092698
6642.877415 -353.409038 0 -121.862128 36.801600 6827.161720 191.309959 0.065524
