## Profile File Version 1.00
## Output by Program MBgrdviz
## Program Version $Id: mbgrdviz_callbacks.c 2268 2016-03-15 02:11:26Z caress $
## MB-System Version 5.5.2268
## Run by user <eve> on cpu <guate.shore.mbari.org> at <Fri Jul  1 14:24:07 2016>
## Number of profile points: 26055
## Profile point format:
##   <lateral distance (m)> <topography (m)> <boundary (boolean)> <longitude (deg)> <latitude (deg)> <distance over topo (m)> <bearing (deg)> <slope (m/m)>
## PROFILESOURCE Route
## PROFILELENGTH 19988.454293
## PROFILEZMIN -721.400523
## PROFILEZMAX 26055.000000
## PROFILEPOINTS 26055
lat_dist_m topo_m boundary long lat dist_topo_m bearing slope
157.896232 -151.519021 0 -121.811686 36.801365 300.004699 214.991947 0.013561
158.798741 -151.516594 0 -121.811692 36.801359 300.907212 214.991952 0.005256
159.127635 -151.525492 0 -121.811694 36.801356 301.236227 214.991957 0.017956
160.359039 -151.544611 0 -121.811702 36.801347 302.467779 214.991962 0.012788
160.511593 -151.543191 0 -121.811703 36.801346 302.620339 214.991966 0.019421
161.590442 -151.568526 0 -121.811710 36.801338 303.699486 214.991970 0.025901
162.224444 -151.587555 0 -121.811714 36.801334 304.333774 214.991976 0.003543
162.821846 -151.572889 0 -121.811718 36.801329 304.931355 214.991980 0.012527
163.937296 -151.566099 0 -121.811725 36.801321 306.046826 214.991986 0.000104
164.053250 -151.572760 0 -121.811726 36.801320 306.162971 214.991989 0.056174
165.284653 -151.641785 0 -121.811734 36.801311 307.396308 214.991995 0.053006
165.650148 -151.657405 0 -121.811737 36.801309 307.762136 214.992000 0.036612
166.516057 -151.686869 0 -121.811742 36.801302 308.628546 214.992004 0.040159
167.363000 -151.726193 0 -121.811748 36.801296 309.476402 214.992010 0.039190
167.747461 -151.735128 0 -121.811750 36.801293 309.860966 214.992014 0.019716
168.978865 -151.758052 0 -121.811758 36.801284 311.092584 214.992019 0.022803
169.075852 -151.765420 0 -121.811759 36.801284 311.189850 214.992024 0.107573
170.210269 -151.890518 0 -121.811766 36.801275 312.331144 214.992028 0.115058
170.788704 -151.962497 0 -121.811770 36.801271 312.914041 214.992033 0.155738
171.441673 -152.082295 0 -121.811775 36.801266 313.577908 214.992038 0.174242
172.501557 -152.260947 0 -121.811781 36.801259 314.652743 214.992043 0.165392
172.673077 -152.285959 0 -121.811783 36.801257 314.826077 214.992047 0.156485
173.904481 -152.480484 0 -121.811791 36.801248 316.072751 214.992052 0.154633
174.214409 -152.524300 0 -121.811793 36.801246 316.385761 214.992057 0.103890
175.135885 -152.608414 0 -121.811799 36.801239 317.311068 214.992061 0.084441
175.927261 -152.668934 0 -121.811804 36.801234 318.104755 214.992067 0.084235
176.367289 -152.712142 0 -121.811807 36.801230 318.546899 214.992071 0.084414
177.598693 -152.810027 0 -121.811815 36.801221 319.782188 214.992077 0.079763
177.640114 -152.813666 0 -121.811815 36.801221 319.823768 214.992080 0.004090
178.830098 -152.804990 0 -121.811823 36.801212 321.013783 214.992085 0.029373
179.352967 -152.763353 0 -121.811826 36.801208 321.538307 214.992091 0.111191
180.061502 -152.668069 0 -121.811831 36.801203 322.253221 214.992095 0.131821
181.065819 -152.537563 0 -121.811837 36.801196 323.265982 214.992100 0.121082
181.186968 -152.531796 1 -121.811838 36.801195 323.387267 214.992104 0.055709
181.291231 -152.525006 0 -121.811839 36.801194 323.491751 213.689970 0.002317
182.503155 -152.528745 0 -121.811847 36.801185 324.703682 213.689974 0.006113
182.831084 -152.534418 0 -121.811849 36.801183 325.031659 213.689979 0.002063
183.715080 -152.531246 0 -121.811854 36.801176 325.915661 213.689983 0.019790
184.600337 -152.569432 0 -121.811860 36.801170 326.801742 213.689989 0.046289
184.927005 -152.587345 0 -121.811862 36.801167 327.128900 213.689992 0.203424
186.138929 -152.882418 0 -121.811870 36.801158 328.376229 213.689998 0.248084
186.369591 -152.945229 0 -121.811871 36.801156 328.615289 213.690003 0.279138
187.350854 -153.220711 0 -121.811877 36.801149 329.634489 213.690006 0.192788
