      TimeJ       PrDM      DepSM      C0S/m      C1S/m      T090C      T190C        Bat      Xmiss         V1    Sbeox0V         V2  FlECO-AFL         V3     Upoly0         V4        Par         V5       AltM         V6      Sal00      Sal11 Potemp090C Potemp190C  Sigma-�00  Sigma-�11   Sbeox0PS Sbeox0ML/L  Sbeox0Mm/Kg       Nbin       Flag
 255.151321     41.000     40.695   3.781704   3.777869    11.0541    11.0046     0.3753    91.0444     4.5826     1.6674     1.6672     0.4642     0.0386  0.0002000     0.0000 1.0000e-12     0.1294     100.00     5.0000    33.7118    33.7191    11.0491    10.9997    25.7636    25.7782   57.58965    3.58429    156.088         65 0.0000e+00
 255.151291     42.000     41.684   3.785476   3.784413    11.0960    11.0846     0.3693    91.1811     4.5893     1.6706     1.6705     0.4612     0.0384  0.0002000     0.0000 1.0000e-12     0.1294     100.00     5.0000    33.7103    33.7102    11.0909    11.0795    25.7550    25.7569   57.75442    3.59136    156.395         59 0.0000e+00
 255.151276     43.000     42.677   3.783826   3.783728    11.0747    11.0741     0.3863    90.7954     4.5702     1.6692     1.6691     0.4707     0.0388  0.0002000     0.0000 1.0000e-12     0.1294     100.00     5.0000    33.7131    33.7127    11.0695    11.0689    25.7610    25.7607   58.28391    3.62588    157.898         38 0.0000e+00
 255.151245     44.000     43.671   3.781472   3.781296    11.0483    11.0474     0.4133    90.1837     4.5398     1.6613     1.6611     0.4463     0.0379  0.0002000     0.0000 1.0000e-12     0.1294     100.00     5.0000    33.7134    33.7125    11.0430    11.0421    25.7660    25.7655   58.39297    3.63469    158.283         37 0.0000e+00
 255.151230     45.000     44.662   3.778769   3.779059    11.0164    11.0213     0.4198    90.0372     4.5325     1.6496     1.6494     0.4408     0.0376  0.0002000     0.0000 1.0000e-12     0.1294     100.00     5.0000    33.7155    33.7139    11.0110    11.0159    25.7733    25.7712   58.18227    3.62400    157.817         33 0.0000e+00
 255.151215     46.000     45.658   3.775555   3.771550    10.9752    10.9258     0.4994    88.2697     4.4447     1.6358     1.6357     0.4714     0.0389  0.0002000     0.0000 1.0000e-12     0.1287     100.00     5.0000    33.7209    33.7284    10.9697    10.9203    25.7849    25.7999   57.85561    3.60670    157.064         35 0.0000e+00
 255.151184     47.000     46.651   3.769882   3.769850    10.9038    10.9058     0.4975    88.3075     4.4466     1.6064     1.6063     0.4415     0.0377  0.0002000     0.0000 1.0000e-12     0.1292     100.00     5.0000    33.7297    33.7275    10.8982    10.9002    25.8045    25.8024   56.25311    3.51200    152.940         40 0.0000e+00
 255.151154     48.000     47.633   3.770494   3.770368    10.9097    10.9086     0.4865    88.5497     4.4586     1.5799     1.5798     0.4252     0.0370  0.0002000     0.0000 1.0000e-12     0.1292     100.00     5.0000    33.7299    33.7297    10.9039    10.9028    25.8037    25.8037   54.17525    3.38181    147.271         33 0.0000e+00
 255.151138     49.000     48.630   3.768289   3.767965    10.8816    10.8781     0.5815    86.4750     4.3556     1.5747     1.5746     0.4285     0.0371  0.0002000     0.0000 1.0000e-12     0.1293     100.00     5.0000    33.7333    33.7333    10.8757    10.8722    25.8113    25.8119   54.06525    3.37690    147.057         25 0.0000e+00
 255.151123     50.000     49.629   3.765609   3.764387    10.8471    10.8326     0.6367    85.2846     4.2964     1.5673     1.5671     0.4675     0.0387  0.0002000     0.0000 1.0000e-12     0.1291     100.00     5.0000    33.7380    33.7391    10.8411    10.8266    25.8211    25.8245   54.33229    3.39599    147.888         26 0.0000e+00
 255.151123     51.000     50.624   3.756332   3.755956    10.7367    10.7327     0.7359    83.1962     4.1927     1.5510     1.5509     0.4668     0.0387  0.0002000     0.0000 1.0000e-12     0.1294     100.00     5.0000    33.7466    33.7466    10.7306    10.7266    25.8473    25.8480   54.16261    3.39319    147.767         43 0.0000e+00
 255.151077     52.000     51.605   3.762164   3.761848    10.8054    10.8038     0.7994    81.8853     4.1276     1.5249     1.5248     0.4227     0.0369  0.0002000     0.0000 1.0000e-12     0.1294     100.00     5.0000    33.7411    33.7394    10.7992    10.7976    25.8309    25.8299   50.91015    3.18489    138.695         40 0.0000e+00
